Name	Version	Architecturet	Description
perl-base	5.26.1-6ubuntu0.7	amd64	minimal Perl system
perl-modules-5.26	5.26.1-6ubuntu0.7	all	Core Perl modules
pinentry-curses	1.1.0-1	amd64	curses-based PIN or pass-phrase entry dialog for GnuPG
procps	2:3.3.12-3ubuntu1.2	amd64	/proc file system utilities
python-apt-common	1.6.6	all	Python interface to libapt-pkg (locales)
python3	3.6.7-1~18.04	amd64	interactive high-level object-oriented language (default python3 version)
python3-apt	1.6.6	amd64	Python 3 interface to libapt-pkg
python3-dbus	1.2.6-1	amd64	simple interprocess messaging system (Python 3 interface)
python3-gi	3.26.1-2ubuntu1	amd64	Python 3 bindings for gobject-introspection libraries
python3-minimal	3.6.7-1~18.04	amd64	minimal subset of the Python language (default python3 version)
python3-software-properties	0.96.24.32.20	all	manage the repositories that you install software from
python3.6	3.6.9-1~18.04ubuntu1.10	amd64	Interactive high-level object-oriented language (version 3.6)
python3.6-minimal	3.6.9-1~18.04ubuntu1.10	amd64	Minimal subset of the Python language (version 3.6)
readline-common	7.0-3	all	GNU readline and history libraries, common files
samtools	1.7-1	amd64	processing sequence alignments in SAM and BAM formats
sed	4.4-2	amd64	GNU stream editor for filtering/transforming text
sensible-utils	0.0.12	all	Utilities for sensible alternative selection
shared-mime-info	1.9-2	amd64	FreeDesktop.org shared MIME database and spec
software-properties-common	0.96.24.32.20	all	manage the repositories that you install software from (common)
sysvinit-utils	2.88dsf-59.10ubuntu1	amd64	System-V-like utilities
tabix	1.7-2	amd64	generic indexer for TAB-delimited genome position files
tar	1.29b-2ubuntu0.4	amd64	GNU version of the tar archiving utility
ubuntu-keyring	2018.09.18.1~18.04.2	all	GnuPG keys of the Ubuntu archive
ubuntu-mono	16.10+18.04.20181005-0ubuntu1	all	Ubuntu Mono Icon theme
ucf	3.0038	all	Update Configuration File(s): preserve user changes to config files
unzip	6.0-21ubuntu1.2	amd64	De-archiver for .zip files
util-linux	2.31.1-0.4ubuntu3.7	amd64	miscellaneous system utilities
wget	1.19.4-1ubuntu2.2	amd64	retrieves files from the web
x11-common	1:7.7+19ubuntu7.1	all	X Window System (X.Org) infrastructure
xauth	1:1.0.10-1	amd64	X authentication utility
xz-utils	5.2.2-1.3ubuntu0.1	amd64	XZ-format compression utilities
zlib1g:amd64	1:1.2.11.dfsg-0ubuntu2.2	amd64	compression library - runtime
zlib1g-dev:amd64	1:1.2.11.dfsg-0ubuntu2.2	amd64	compression library - development
